범죄분류,불취학,초등학교_재중,초등학교_중퇴,초등학교_졸업,중학교_재중,중학교_중퇴,중학교_졸업,고등학교_재중,고등학교_중퇴,고등학교_졸업,전문대학_재중,전문대학_중퇴,전문대학_졸업,대학교_재중,대학교_중퇴,대학교_졸업,대학원,기타,미상
절도,2186,58,2436,7061,6162,2900,7837,8394,5436,29285,491,565,3643,2858,2242,8483,1438,1128,14053
장물,11,0,19,86,59,60,163,245,133,1139,15,10,123,84,75,351,49,13,496
사기,377,6,645,3302,582,2174,7886,2133,5821,49884,316,864,5458,2273,4847,14267,2735,1357,118195
횡령,265,2,340,1209,176,456,1471,747,721,7697,62,110,1165,521,632,3146,659,242,16694
배임,8,0,8,92,0,28,142,0,50,1144,3,16,202,14,72,969,196,32,7093
손괴,347,2,455,1648,118,731,2550,378,1183,12009,116,146,1588,679,908,4099,841,425,7262
살인,14,0,29,74,1,42,92,11,59,272,3,5,26,11,17,51,11,15,253
강도,4,0,20,43,18,68,105,84,153,505,2,8,34,24,51,91,14,36,237
방화,17,0,35,114,39,30,110,56,76,381,0,13,44,18,17,76,15,23,199
성폭력,152,5,289,1059,580,483,1417,1568,846,7966,191,234,1683,1776,887,5035,1149,437,7080
폭행,1096,7,1394,5934,1543,2619,10155,3853,5373,50497,565,684,5986,3202,3596,14556,2767,1754,113418
상해,587,15,827,3490,1204,1614,5748,3113,3422,27301,416,458,3478,2038,1892,7067,1251,800,9394
협박,96,0,202,696,100,356,1101,209,575,5014,36,54,631,185,370,1641,257,177,5763
공갈,4,1,19,70,413,110,262,649,427,1224,27,27,99,68,95,297,44,41,1650
약취와유인,2,0,2,6,1,5,16,8,11,66,2,2,9,8,5,35,9,2,110
체포와감금,9,0,12,41,34,35,113,89,112,664,10,17,54,39,58,203,36,19,1226
"폭력행위등(손괴,강요,주거침입등)",9,0,12,56,155,34,97,214,73,841,7,19,77,63,63,260,47,15,945
"폭력행위등(단체등의구성,활동)",1,0,2,1,3,31,32,17,82,260,7,7,9,3,16,12,3,9,123
통화,1,0,6,1,5,3,8,7,6,75,1,0,5,2,2,6,4,1,430
유가증권·인지·우표,1,0,2,6,1,1,11,1,5,70,0,1,13,2,3,33,5,1,250
문서,24,2,32,256,64,121,432,1021,381,2569,23,36,398,201,295,1333,279,82,10420
인장,5,0,9,35,2,13,30,9,12,156,1,2,20,2,9,50,9,1,236
직무유기,0,0,0,0,0,0,0,0,0,17,0,0,17,0,1,86,8,4,1930
